Incident_Type,Report_Number,Reported,Occurred,Location,Location_Type,Crime_Type,Narrative,Disposition
Larceny,17-23380,9/23/17 10:04,09/22/2017 21:00 - 09/22/2017 23:00,623 University Avenue (Von Cramm Hall),In dormitories or other residential facilities for students on campus,NA,"Officer dispatched to take a report from a student regarding the theft of their unsecured wallet, NYS driver's license, CUID, bankcards and cash.",Closed
Agency Assistance,17-23385,9/23/17 10:40,09/23/2017 10:40 - 09/23/2017 10:40,Cayuga Heights Road,On public property,NA,Cornell University Police assisted the Cayuga Heights Police Department with a reported motor vehicle accident.,Closed
Violation Local Ordinance,17-23413,9/23/17 23:34,09/23/2017 23:34 - 09/23/2017 23:34,Forest Park Lane,On public property,AL,An individual eligible for youthful offender status has been referred to Ithaca City Court.,Arrest 1
Alcohol Offense,17-23415,9/23/17 23:55,09/23/2017 23:55 - 09/23/2017 23:55,Stewart Avenue,On public property,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-23422,9/24/17 01:29,09/24/2017 01:29 - 09/24/2017 01:29,High Rise 5,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-23436,9/24/17 02:55,09/24/2017 02:55 - 09/24/2017 02:55,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-23463,9/24/17 18:09,09/24/2017 18:09 - 09/24/2017 18:09,Barton Hall,On campus,NA,Cornell University Police assisted the Ithaca Police Department with reported found property.,Closed
Aggravated Harassment,17-23125,9/20/17 11:10,09/20/2017 09:10 - 09/20/2017 11:10,Appel Commons Mail Room,On campus,NA,Officer dispatched to take a report from a staff member regarding a harassing letter that was received.,Closed
Larceny,17-23142,9/20/17 16:44,09/20/2017 15:10 - 09/20/2017 15:35,Statler Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of their unsecured iPhone 7 and carrying case. Value: $700.00,Closed
Criminal Tampering,17-23035,9/19/17 12:29,09/15/2017 17:00 - 09/19/2017 05:00,Snee Hall,On campus,NA,Officer dispatched to take a report from a staff member regarding vandalism done in the second floor woman's bathroom.,Closed
Criminal Mischief,17-23039,9/19/17 13:09,09/19/2017 13:09 - 09/19/2017 13:09,Malott Hall,On campus,NA,Officer dispatched to take a report from a student regarding an unknown individual(s) damaging their parked bicycle.,Closed
Harassment,17-23059,9/19/17 18:59,09/19/2017 18:59 - 09/19/2017 18:59,Helen Newman Hall,On campus,NA,Officer dispatched to take a report regarding two individuals in a verbal argument.,Closed
Agency Assistance,17-23084,9/19/17 23:34,09/19/2017 23:34 - 09/19/2017 23:34,Triphammer Road,On public property,NA,Cornell University Police assisted the Cayuga Heights Police Department with a reported suspicious person complaint.,Closed
Sex Offense,17-22936,9/18/17 09:35,09/17/2017 01:30 - 09/17/2017 01:30,West Avenue,On campus,NA,Officer dispatched to take a report from a student that was grabbed from behind by an unknown male individual. The individual fled on foot.,Closed
Aggravated Harassment,17-22966,9/18/17 19:37,09/18/2017 19:37 - 09/18/2017 19:37,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student that has been receiving harassing email messages from a known individual.,Closed
Drugs,17-24148,10/2/17 23:26,10/02/2017 23:26 - 10/02/2017 23:26,High Rise 5,In dormitories or other residential facilities for students on campus,DR,Four individuals have been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-24170,10/3/17 05:11,10/03/2017 05:11 - 10/03/2017 05:11,Cascadilla Place,On public property,NA,Cornell University Police assisted the Ithaca Police Department with a reported noise complaint.,Closed
Agency Assistance,17-24208,10/3/17 19:04,10/03/2017 19:04 - 10/03/2017 19:04,Cascadilla Hall,In dormitories or other residential facilities for students on campus,NA,Cornell University Police assisted the Ithaca Police Department with serving a subpoena.,Closed
Identity Theft,17-24247,10/4/17 10:13,10/02/2017 00:01 - 10/02/2017 00:01,Barton Hall,On campus,NA,Investigator dispatched to take a report from a staff member regarding their identity being compromised.,Unfounded
Alcohol Offense,17-24309,10/5/17 02:26,10/05/2017 02:26 - 10/05/2017 02:26,Lyon Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Criminal Mischief,17-24320,10/5/17 07:47,10/05/2017 07:47 - 10/05/2017 07:47,Thurston Ave. Bridge,On public property,NA,Officer dispatched to take a report regarding graffiti spray painted on the sidewalk of the bridge.,Unfounded
Larceny,17-24332,10/5/17 11:48,10/05/2017 11:48 - 10/05/2017 11:48,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-24366,10/5/17 21:01,10/05/2017 21:01 - 10/05/2017 21:01,Barton Hall,On campus,NA,Cornell University Police assisted the Chemung County Sheriff's Department with a reported suspicious person complaint.,Closed
Harassment,17-24394,10/6/17 01:29,10/06/2017 01:29 - 10/06/2017 01:29,Clara Dickson Hall,In dormitories or other residential facilities for students on campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-24396,10/6/17 01:52,10/06/2017 01:52 - 10/06/2017 01:52,College Avenue,On public property,NA,Cornell University Police assisted the Ithaca Police Department with a reported disorderly conduct complaint.,Closed
Larceny,17-24413,10/6/17 08:00,10/06/2017 07:40 - 10/06/2017 08:00,P&C Fresh,In or on a non-campus building or property,NA,Officer dispatched to take a report regarding the theft of four Monster Red Bulls. The drinks were recovered intact.,Exceptional Clearance
Harassment,17-24422,10/6/17 09:34,10/04/2017 16:00 - 10/04/2017 16:30,Bartels Hall,On campus,NA,Officer dispatched to take a report from a staff member that was verbally harassed by an unknown individual.,Closed
Extortion,17-24428,10/6/17 12:42,10/06/2017 12:00 - 10/06/2017 12:25,Low Rise 7,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding an unknown individual(s) trying to defraud them over their Facebook and Skype account.,Closed
Agency Assistance,17-24436,10/6/17 17:23,10/06/2017 17:23 - 10/06/2017 17:23,Gorge Restricted Area,In or on a non-campus building or property,NA,Cornell University Police assisted the Ithaca Police Department with a reported trespass complaint.,Closed
Drugs,17-24449,10/6/17 23:34,10/06/2017 23:34 - 10/06/2017 23:34,Appel Commons,On campus,DR,Two individuals have been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-24454,10/7/17 00:45,10/07/2017 00:45 - 10/07/2017 00:45,Economy Inn,In or on a non-campus building or property,NA,Cornell University Police assisted the Tompkins County Sheriff's Department with a reported domestic complaint.,Closed
Agency Assistance,17-24456,10/7/17 01:39,10/07/2017 01:39 - 10/07/2017 01:39,Highland Road,In or on a non-campus building or property,NA,Cornell University Police assisted the Cayuga Heights Police Department with a reported domestic complaint.,Closed
Agency Assistance,17-24494,10/7/17 21:50,10/07/2017 21:50 - 10/07/2017 21:50,Buffalo Street,In or on a non-campus building or property,NA,Cornell University Police assisted the Ithaca Police Department with a reported domestic complaint.,Closed
Larceny,17-24495,10/7/17 22:19,10/07/2017 18:30 - 10/07/2017 22:00,Baker Lab Bike Rack,On campus,NA,Officer dispatched to take a report from a student regarding the theft of their unsecured Kent KZR bicycle. Value: $200.00,Closed
Larceny,17-24589,10/9/17 09:49,10/09/2017 09:49 - 10/09/2017 09:49,P&C Fresh,In or on a non-campus building or property,NA,Officer dispatched to take a report regarding the theft of approximately fifty shopping carts over the last several weeks.,Closed
Agency Assistance,17-24610,10/9/17 18:56,10/09/2017 18:56 - 10/09/2017 18:56,Barton Hall,On campus,NA,Cornell University Police assisted the Ithaca Police Department with reported found property.,Closed
Sex Offense,17-24660,10/10/17 04:30,10/10/2017 04:30 - 10/10/2017 04:30,Short Line Bus,In or on a non-campus building or property,NA,Officer dispatched to take a report from a student that was sexually harassed while on a Short Line bus by an unknown male individual.,Closed
Trespass,17-24664,10/10/17 07:49,10/10/2017 07:49 - 10/10/2017 07:49,Hasbrouck Apartments,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding an unknown individual attempting to enter their secured apartment.,Unfounded
Forgery,17-24728,10/11/17 00:46,10/11/2017 00:46 - 10/11/2017 00:46,Barton Hall,On campus,NA,"Mojica, Lia K., Ithaca, NY was referred to Ithaca City Court.",Arrest 1
Alcohol Offense,17-24819,10/12/17 02:31,10/12/2017 02:31 - 10/12/2017 02:31,Risley Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-24840,10/12/17 11:44,10/12/2017 11:44 - 10/12/2017 11:44,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Fraud,17-24846,10/12/17 13:29,10/12/2017 10:30 - 10/12/2017 10:30,Barton Hall,On campus,NA,Officer dispatched to take a report from a student that was a victim of a fraudulent IRS telephone scam.,Closed
Larceny,17-24847,10/12/17 16:03,10/12/2017 16:03 - 10/12/2017 16:03,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-24863,10/12/17 19:46,10/12/2017 09:00 - 10/12/2017 19:46,Sisson Place,In dormitories or other residential facilities for students on campus,NA,"Officer dispatched to take a report from a student regarding the theft of two pairs of shoes, bed sheets, a fan and some athletic clothing from their unsecured room. Value: $190.00",Closed
Drugs,17-24885,10/12/17 23:47,10/12/2017 23:47 - 10/12/2017 23:47,112 Sage Place,In dormitories or other residential facilities for students on campus,DR,Four individuals have been referred to the Judicial Administrator.,Arrest 3
Driving While Intoxicated,17-24935,10/13/17 17:31,10/13/2017 17:31 - 10/13/2017 17:31,Campus Road,On public property,AL,"Bransford, Alex R., Ithaca, NY was referred to Ithaca City Court.",Arrest 1
Alcohol Offense,17-24949,10/13/17 23:19,10/13/2017 23:19 - 10/13/2017 23:19,McGraw Tower Area,On campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-24950,10/13/17 23:13,10/13/2017 20:00 - 10/13/2017 21:00,Robert Purcell Community Center,On campus,NA,Officer dispatched to take a report from a student regarding the theft of their wallet and bankcards from their unsecured backpack.,Closed
Alcohol Offense,17-24962,10/14/17 00:53,10/14/2017 00:53 - 10/14/2017 00:53,Wait Avenue,On campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Disorderly Conduct,17-24966,10/14/17 01:10,10/14/2017 01:10 - 10/14/2017 01:10,Keeton House,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-24970,10/14/17 02:00,10/14/2017 02:00 - 10/14/2017 02:00,Clara Dickson Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-25015,10/14/17 23:24,10/14/2017 23:24 - 10/14/2017 23:24,109 McGraw Place (Sigma Phi Epsilon fraternity),In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-25020,10/15/17 00:31,10/15/2017 00:31 - 10/15/2017 00:31,Carl Becker House,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-25029,10/15/17 01:52,10/15/2017 01:52 - 10/15/2017 01:52,Clara Dickson Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-25031,10/15/17 02:25,10/15/2017 02:25 - 10/15/2017 02:25,109 McGraw Place (Sigma Phi Epsilon fraternity),In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-25032,10/15/17 02:37,10/15/2017 02:37 - 10/15/2017 02:37,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Menacing,17-25058,10/15/17 13:52,10/15/2017 13:52 - 10/15/2017 13:52,Schoellkopf Stadium,On campus,NA,Officer dispatched to take a report regarding two individuals in a verbal dispute during a football game.,Exceptional Clearance
Agency Assistance,17-25117,10/16/17 06:25,10/16/2017 06:25 - 10/16/2017 06:25,Barton Hall,On campus,NA,Cornell University Police assisted the NYC Port Authority Police Department with a found property report.,Closed
Larceny,17-25125,10/16/17 10:02,10/14/2017 06:00 - 10/16/2017 10:02,Willard Straight Hall,On campus,NA,Officer dispatched to take a report from a staff member regarding the theft of a secured stone statue from the International lounge. Value: $200.00,Closed
Larceny,17-25208,10/17/17 09:12,10/13/2017 17:12 - 10/16/2017 09:00,Performing Arts Center,On campus,NA,Officer dispatched to take a report from a staff member regarding the theft of an Avaya 4610sw wall telephone from the sub basement. Value: $54.00,Closed
Agency Assistance,17-25210,10/17/17 09:34,10/17/2017 09:34 - 10/17/2017 09:34,Honness Lane,In or on a non-campus building or property,NA,Cornell University Police assisted the Tompkins County Sheriff's Department with a reported domestic complaint.,Closed
Agency Assistance,17-25293,10/18/17 08:50,10/18/2017 08:50 - 10/18/2017 08:50,Barton Hall,On campus,NA,Cornell University Police assisted the Tioga County Sheriff's Department with found property.,Closed
Traffic Violation,17-25308,10/18/17 11:52,10/18/2017 11:52 - 10/18/2017 11:52,State Route 366,On public property,NA,"Sriram, Urshila, Ithaca, NY was referred to Ithaca Town Court.",Closed
Larceny,17-25315,10/18/17 14:46,10/17/2017 15:00 - 10/17/2017 16:00,Goldwin Smith Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of their unsecured sunglasses. Value: $168.00,Closed
Larceny,17-25403,10/19/17 17:30,10/19/2017 15:20 - 10/19/2017 16:40,Teagle Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of their unsecured Apple Macbook Pro laptop computer. The computer was later recovered intact. Value: $2500.00,Closed
Alcohol Offense,17-25441,10/20/17 02:23,10/20/2017 02:23 - 10/20/2017 02:23,Anna Comstock,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-25449,10/20/17 03:21,10/20/2017 03:21 - 10/20/2017 03:21,Dryden Road,In or on a non-campus building or property,NA,Cornell University Police assisted the Tompkins County Sheriff's Department with a reported suspicious circumstance complaint.,Closed
Agency Assistance,17-25469,10/20/17 15:32,10/20/2017 15:32 - 10/20/2017 15:32,Dearborn Place,On public property,NA,Cornell University Police assisted the Ithaca Police Department with a reported motor vehicle accident.,Closed
Alcohol Offense,17-25530,10/21/17 00:44,10/21/2017 00:44 - 10/21/2017 00:44,George Jameson Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-25542,10/21/17 01:57,10/21/2017 01:57 - 10/21/2017 01:57,College Avenue,On public property,NA,Cornell University Police assisted the Ithaca Police Department with a reported medical emergency.,Closed
Agency Assistance,17-25552,10/21/17 04:56,10/21/2017 04:56 - 10/21/2017 04:56,Ithaca Police Department,In or on a non-campus building or property,NA,Cornell University Police assisted the Ithaca Police Department with a reported sex offense complaint.,Closed
Larceny,17-25561,10/21/17 13:37,10/21/2017 13:37 - 10/21/2017 13:37,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-25603,10/21/17 22:07,10/21/2017 22:07 - 10/21/2017 22:07,Barton Hall,On campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Trespass,17-25607,10/21/17 23:08,10/21/2017 23:08 - 10/21/2017 23:08,Robert Purcell Community Center,On campus,NA,Officer dispatched to take a report regarding an individual that was warned for trespassing. Individual was warned and released.,Closed
Alcohol Offense,17-25614,10/22/17 00:12,10/22/2017 00:12 - 10/22/2017 00:12,Stewart Avenue,On public property,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-25621,10/22/17 00:47,10/22/2017 00:47 - 10/22/2017 00:47,Willard Straight Hall,On campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Possession Stolen Property,17-25627,10/22/17 01:11,10/22/2017 01:11 - 10/22/2017 01:11,Thurston Avenue,On public property,NA,Officer dispatched to take a report regarding an individual in possession of a University owned corrugated plastic sign. The sign was put back and the individual was warned and released.,Closed
Agency Assistance,17-25633,10/22/17 01:15,10/22/2017 01:15 - 10/22/2017 01:15,Eddy Street,On public property,NA,Cornell University Police assisted the Ithaca Police Department with a reported medical emergency.,Closed
Rape,17-25646,10/22/17 06:02,10/21/2017 19:30 - 10/22/2017 06:02,Barton Hall,On campus,NA,Officer dispatched to take a report regarding a possible rape.,Closed
Larceny,17-25647,10/22/17 06:19,10/21/2017 00:01 - 10/22/2017 06:19,Stevenson Road,On campus,NA,Officer dispatched to take a report from an individual regarding the theft of their secured Field & Stream climbing sticks. Value: $80.00,Closed
Burglary,17-25663,10/21/17 22:56,10/21/2017 22:56 - 10/21/2017 22:56,Founders Hall,In dormitories or other residential facilities for students on campus,DR,An individual has been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-25689,10/22/17 21:57,10/22/2017 21:57 - 10/22/2017 21:57,Pleasant Grove Road,In or on a non-campus building or property,NA,Cornell University Police assisted the Cayuga Heights Police Department with a reported domestic complaint.,Closed
Violation Campus Code,17-25733,10/23/17 05:13,10/23/2017 05:10 - 10/23/2017 05:13,Statler Hotel,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster on a north entrance door.,Pending
Violation Campus Code,17-25736,10/23/17 08:03,10/23/2017 08:03 - 10/23/2017 08:03,Arts Quad,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster on the Ezra Cornell statue.,Pending
Violation Campus Code,17-25737,10/23/17 08:12,10/23/2017 08:12 - 10/23/2017 08:12,Klarman Hall,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster on an entry door.,Pending
Violation Campus Code,17-25738,10/23/17 08:20,10/23/2017 08:20 - 10/23/2017 08:20,Arts Quad,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster on the A.D. White statue.,Pending
Violation Campus Code,17-25741,10/23/17 08:40,10/21/2017 16:40 - 10/23/2017 08:40,Arts Quad,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster on a front door.,Pending
Violation Campus Code,17-25742,10/23/17 08:47,10/23/2017 08:47 - 10/23/2017 08:47,Cascadilla Gorge Trail,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster at the top of the trail.,Pending
Violation Campus Code,17-25746,10/23/17 08:57,10/23/2017 08:57 - 10/23/2017 08:57,Duffield Hall,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster on the front door.,Pending
Violation Campus Code,17-25749,10/23/17 10:20,10/20/2017 16:00 - 10/23/2017 07:00,Myron Taylor Hall,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster on the front door.,Pending
Forgery,17-25750,10/23/17 10:35,10/23/2017 10:35 - 10/23/2017 10:35,Barton Hall,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-25756,10/23/17 11:29,10/23/2017 08:30 - 10/23/2017 11:10,Crescent Parking Lot,On campus,NA,Officer dispatched to take a report from a student regarding the theft of of a Cornell parking permit from their unsecured vehicle.,Closed
Violation Campus Code,17-25757,10/23/17 12:02,10/23/2017 12:02 - 10/23/2017 12:02,White Hall,On campus,BI,Officer dispatched to take a report from a staff member regarding an unknown individual(s) placing a poster on a center door.,Pending
Violation Campus Code,17-25764,10/23/17 13:52,10/23/2017 01:00 - 10/23/2017 05:30,Alice Cook House,In dormitories or other residential facilities for students on campus,BI,Lieutenant dispatched to take a report from a staff member regarding an unknown individual(s) placing posters on exterior doors and windows.,Pending
Larceny,17-25868,10/24/17 11:18,10/24/2017 11:18 - 10/24/2017 11:18,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Trespass,17-25919,10/24/17 23:33,10/24/2017 23:33 - 10/24/2017 23:33,Central Heating Plant,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Harassment,17-25926,10/25/17 00:22,10/25/2017 00:10 - 10/25/2017 00:12,Founders Hall,In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student that was verbally harassed by a known individual.,Exceptional Clearance
Larceny,17-25969,10/25/17 11:15,10/17/2017 21:00 - 10/17/2017 23:15,Sage Chapel,On campus,NA,Officer dispatched to take a report from a student regarding the theft of an unsecured Lenovo Thinkpad computer and carrying bag. Value: $400.00,Closed
Harassment,17-25985,10/25/17 16:14,10/25/2017 16:14 - 10/25/2017 16:14,Barton Hall,On campus,NA,Investigator dispatched to take a report from a student that has received harassing messages from a known individual.,Pending
Drugs,17-26005,10/25/17 21:04,10/25/2017 21:04 - 10/25/2017 21:04,George Jameson Hall,In dormitories or other residential facilities for students on campus,DR,Office dispatched to take a report regarding the smell of marijuana on the 5th floor. Several individuals were issued warnings.,Closed
